seed,bs,epochs,emb_dim,hid_dim,upsample,lr,dropout,max_vocab,additional_data,embs,micro_p,micro_r,micro_f,macro_p,macro_r,macro_f,1_p,1_r,1_f,2_p,2_r,2_f,3_p,3_r,3_f
1,256,200,300,300,True,0.01,0.2,-1,False,True,0.07129094412331406,0.07129094412331406,0.07129094412331406,0.35526601520086865,0.33590534979423864,0.04626193944068565,0.06579804560260587,1.0,0.1234718826405868,0.0,0.0,0.0,1.0,0.007716049382716049,0.015313935681470138
0,256,200,300,300,True,0.01,0.2,-1,False,True,0.07385998715478484,0.07385998715478484,0.07385998715478484,0.35528031290743156,0.3369341563786008,0.048307148804382506,0.06584093872229466,1.0,0.1235474006116208,0.0,0.0,0.0,1.0,0.010802469135802469,0.021374045801526718
2,256,200,300,300,True,0.1,0.2,-1,False,True,0.06486833654463713,0.06486833654463713,0.06486833654463713,0.021622778848212374,0.3333333333333333,0.04061117812625654,0.06486833654463713,1.0,0.1218335343787696,0,0,0,0,0,0
1,256,200,300,300,True,0.1,0.2,-1,False,True,0.06486833654463713,0.06486833654463713,0.06486833654463713,0.021622778848212374,0.3333333333333333,0.04061117812625654,0.06486833654463713,1.0,0.1218335343787696,0,0,0,0,0,0
0,256,200,300,300,False,0.1,0.2,-1,True,True,0.8387925497752088,0.8387925497752088,0.8387925497752088,0.5962857297165568,0.5903289634519008,0.5929127635253462,0.44565217391304346,0.40594059405940597,0.42487046632124353,0.4226190476190476,0.44375,0.4329268292682927,0.920585967617579,0.9212962962962963,0.9209409949865022
0,256,200,300,300,True,0.1,0.2,-1,False,True,0.06486833654463713,0.06486833654463713,0.06486833654463713,0.021622778848212374,0.3333333333333333,0.04061117812625654,0.06486833654463713,1.0,0.1218335343787696,0,0,0,0,0,0
2,256,200,300,300,True,0.1,0.2,-1,True,True,0.5780346820809249,0.5780346820809249,0.5780346820809249,0.3892768172771044,0.507227366255144,0.3490141573858474,0.0,0.0,0.0,0.19383825417201542,0.94375,0.321618743343983,0.9739921976592978,0.5779320987654321,0.7254237288135593
1,256,200,300,300,True,0.1,0.2,-1,True,True,0.5741811175337187,0.5741811175337187,0.5741811175337187,0.43404807575203996,0.505075021391028,0.3519323154685818,0.14285714285714285,0.009900990099009901,0.018518518518518517,0.19053708439897699,0.93125,0.3163481953290871,0.96875,0.5740740740740741,0.7209302325581396
0,256,200,300,300,True,0.01,0.2,-1,True,True,0.340398201669878,0.340398201669878,0.340398201669878,0.37354523520508326,0.42484567901234566,0.2268436657120851,0,0,0,0.13389830508474576,0.9875,0.23582089552238805,0.986737400530504,0.28703703703703703,0.44471010161386726
2,256,200,300,300,True,0.01,0.2,-1,True,True,0.3301220295439949,0.3301220295439949,0.3301220295439949,0.37146298891265334,0.4170781893004116,0.22069817732468333,0.0,0.0,0.0,0.13087248322147652,0.975,0.23076923076923075,0.9835164835164835,0.2762345679012346,0.4313253012048192
